frame_id,time_ms,syllable,start_v,end_v,alpha,mouth_open,corner_l,corner_r,upper_lip_l,upper_lip_r,lower_lip
0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,120,xiang,5,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
4,160,xiang,5,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
5,200,yi,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
6,240,xia,5,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
7,280,ni,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
8,320,zheng,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
9,360,zai,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
10,400,yu,5,3,1.0,0.16,-0.2,-0.2,0.05,0.05,0.12
11,440,yi,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
12,480,ge,4,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
13,520,ji,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
14,560,qi,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
15,600,ren,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
16,640,dui,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
17,680,hua,4,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
18,720,zhe,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
19,760,ge,4,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
20,800,ji,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
21,840,qi,5,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
22,880,ren,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
23,920,neng,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
24,960,gou,4,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
25,1000,gen,4,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
26,1040,ju,5,3,1.0,0.16,-0.2,-0.2,0.05,0.05,0.12
27,1080,ni,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
28,1120,shuo,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
29,1160,de,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
30,1200,nei,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
31,1240,rong,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
32,1280,he,4,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
33,1320,shuo,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
34,1360,hua,4,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
35,1400,shi,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
36,1440,de,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
37,1480,qing,5,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
38,1520,gan,4,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
39,1560,bian,0,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
40,1600,hua,4,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
41,1640,shi,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
42,1680,shi,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
43,1720,di,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
44,1760,zhan,2,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
45,1800,shi,2,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
46,1840,chu,2,3,1.0,0.16,-0.2,-0.2,0.05,0.05,0.12
47,1880,xiang,5,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
48,1920,ying,5,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
49,1960,de,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
50,2000,mian,0,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
51,2040,bu,0,3,1.0,0.16,-0.2,-0.2,0.05,0.05,0.12
52,2080,biao,0,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
53,2120,qing,5,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
54,2160,bi,0,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
55,2200,ru,2,3,1.0,0.16,-0.2,-0.2,0.05,0.05,0.12
56,2240,wei,3,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
57,2280,xiao,5,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
58,2320,zhou,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
59,2360,mei,0,5,1.0,0.16,0.22,0.22,0.04,0.04,0.06
60,2400,huo,4,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
61,2440,zhe,2,4,1.0,0.18,0.08,0.08,0.04,0.04,0.1
62,2480,zhang,2,7,1.0,0.46,0.06,0.06,0.09,0.09,0.24
63,2520,dong,2,6,1.0,0.3,-0.16,-0.16,0.07,0.07,0.18
64,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
65,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
66,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
67,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
68,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
69,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
70,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
71,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
72,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
73,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
74,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
75,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
76,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
77,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
78,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
79,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
80,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
81,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
82,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
83,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
84,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
85,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
86,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
